100 sqrt None  0.5464355608506679 0.5335517397198373
100 sqrt 10  0.5578660470297105 0.5443967464979665
100 sqrt 15  0.5496874308289106 0.5412336195210122
100 log2 None  0.5409261097210308 0.5320831450519656
100 log2 10  0.5585436967478239 0.551739719837325
100 log2 15  0.5523101027276743 0.5325350203343877
100 None None  0.5451210423936537 0.5330998644374153
100 None 10  0.5576361924560288 0.539200180750113
100 None 15  0.5520818802091887 0.5353592408495256
300 sqrt None  0.5539350584836779 0.5388612742882964
300 sqrt 10  0.5589936135640107 0.55286940804338
300 sqrt 15  0.557770286191079 0.5454134658834162
300 log2 None  0.5560601779552184 0.5320831450519656
300 log2 10  0.5647779435900523 0.5545639403524627
300 log2 15  0.5558334242864094 0.5448486217803886
300 None None  0.5522636095552752 0.539200180750113
300 None 10  0.5593087838230689 0.5473339358337099
300 None 15  0.5584498943754278 0.5455264347040217
500 sqrt None  0.5527171168928934 0.5455264347040217
500 sqrt 10  0.5615691394682968 0.5507230004518753
500 sqrt 15  0.5594435303801975 0.543831902394939
500 log2 None  0.5528980302113817 0.5360370537731586
500 log2 10  0.5650471102932701 0.5535472209670131
500 log2 15  0.5561484313399478 0.5437189335743334
500 None None  0.5518110814507746 0.5352462720289201
500 None 10  0.5620640806072061 0.5519656574785359
500 None 15  0.5590389642977726 0.5427022141888839
700 sqrt None  0.5565104211824444 0.5422503389064618
700 sqrt 10  0.5654998016032902 0.5537731586082242
700 sqrt 15  0.5583611513741394 0.548689561680976
700 log2 None  0.5544792672888197 0.5379575237234523
700 log2 10  0.5633314530697429 0.5549028468142793
700 log2 15  0.5571883973115971 0.5448486217803886
700 None None  0.5524897104020058 0.5385223678264799
700 None 10  0.5614782747952536 0.5516267510167194
700 None 15  0.5555162955611159 0.5460912788070492
900 sqrt None  0.5541624649745654 0.5420244012652508
900 sqrt 10  0.5661309581490046 0.5573881608676006
900 sqrt 15  0.5586316237215143 0.5489154993221871
900 log2 None  0.5566472894113279 0.5375056484410303
900 log2 10  0.5673056706777823 0.5564844103027564
900 log2 15  0.5608919793667422 0.5473339358337099
900 None None  0.5521738873208692 0.5406687754179846
900 None 10  0.5604401040843202 0.5527564392227745
900 None 15  0.557727546745631 0.5460912788070492
900 log2 10  0.5673056706777823 0.5564844103027564
