Feature Importances (sorted by importance):

LightGBM Whole Data
1000 trees
{'learning_rate': 0.001, 'num_leaves': 15, 'feature_fraction': 0.65, 'bagging_fraction': 0.65, 'bagging_freq': 1, 'min_child_samples': 100, 'objective': 'binary', 'verbose': 0}

home_team_spread_mean: 19420.388916015625
away_team_spread_mean: 14642.202284812927
away_pitching_SO_batters_faced_mean: 11010.094718933105
home_team_wins_mean: 7041.267205238342
away_team_wins_skew: 6214.944000244141
away_pitching_SO_batters_faced_10RA: 6136.923665046692
home_team_wins_skew: 5223.987901687622
home_pitcher_wpa_def_mean: 4798.5855531692505
away_pitcher_SO_batters_faced_mean: 4211.720512390137
away_pitching_earned_run_avg_10RA: 4032.208498954773
away_batting_onbase_perc_mean: 3908.6797037124634
away_team_wins_mean: 3867.6494855880737
away_pitching_wpa_def_skew: 3824.9625883102417
away_pitching_BB_batters_faced_mean: 3493.2376976013184
home_pitcher_SO_batters_faced_mean: 3462.339503288269
home_pitching_BB_batters_faced_10RA: 3164.810604095459
away_pitching_wpa_def_mean: 2884.978094100952
home_pitching_H_batters_faced_mean: 2776.033606529236
home_batting_batting_avg_skew: 2725.257405281067
away_pitcher_SO_batters_faced_10RA: 2561.996594429016
home_pitching_H_batters_faced_skew: 2520.2495040893555
home_pitching_earned_run_avg_mean: 2395.8718996047974
home_pitcher_SO_batters_faced_10RA: 2225.5709314346313
home_pitching_SO_batters_faced_mean: 2153.1290998458862
home_pitching_earned_run_avg_std: 2067.8389959335327
away_pitcher_H_batters_faced_std: 2042.5373048782349
away_batting_leverage_index_avg_10RA: 2007.851300239563
home_pitcher_earned_run_avg_skew: 1938.2928018569946
home_batting_onbase_plus_slugging_skew: 1760.9755992889404
home_pitching_wpa_def_mean: 1759.8780031204224
home_pitcher_SO_batters_faced_skew: 1708.9189977645874
home_batting_wpa_bat_mean: 1708.7986011505127
away_team_errors_skew: 1606.3852987289429
home_pitching_BB_batters_faced_mean: 1551.384204864502
home_batting_onbase_plus_slugging_mean: 1546.5337953567505
away_pitcher_BB_batters_faced_mean: 1526.7615947723389
away_batting_onbase_perc_10RA: 1506.700201034546
away_pitcher_wpa_def_mean: 1469.2936973571777
away_pitcher_BB_batters_faced_10RA: 1466.534797668457
away_batting_RBI_std: 1446.162896156311
home_batting_wpa_bat_skew: 1353.9432964324951
away_team_errors_mean: 1328.264139175415
away_pitching_wpa_def_std: 1322.4560012817383
away_pitching_H_batters_faced_10RA: 1321.8682222366333
home_pitcher_H_batters_faced_skew: 1315.5008993148804
away_pitching_BB_batters_faced_std: 1292.5436973571777
home_batting_onbase_perc_skew: 1289.0571022033691
home_pitching_earned_run_avg_skew: 1278.3939952850342
home_pitcher_leverage_index_avg_std: 1247.8644914627075
home_pitching_wpa_def_std: 1233.6952962875366
away_batting_onbase_plus_slugging_mean: 1214.0553979873657
home_batting_onbase_plus_slugging_std: 1213.4181966781616
home_batting_RBI_skew: 1194.9412984848022
home_pitcher_H_batters_faced_mean: 1188.680799484253
home_pitcher_earned_run_avg_10RA: 1165.0417003631592
away_batting_wpa_bat_skew: 1164.7561988830566
away_pitching_leverage_index_avg_std: 1140.0810956954956
