Feature Importances (sorted by importance):

LightGBM Whole Data
1000 trees
{'learning_rate': 0.001, 'num_leaves': 15, 'feature_fraction': 0.65, 'bagging_fraction': 0.65, 'bagging_freq': 1, 'min_child_samples': 100, 'objective': 'binary', 'verbose': 0}

home_team_spread_mean: 624
away_pitching_SO_batters_faced_mean: 431
away_team_spread_mean: 414
away_pitching_SO_batters_faced_10RA: 311
home_pitcher_wpa_def_mean: 287
away_pitcher_SO_batters_faced_mean: 249
away_pitching_wpa_def_skew: 235
away_pitching_earned_run_avg_10RA: 232
home_team_wins_mean: 229
away_team_wins_skew: 215
home_pitcher_SO_batters_faced_mean: 212
away_batting_onbase_perc_mean: 208
home_pitching_BB_batters_faced_10RA: 206
home_team_wins_skew: 197
away_pitching_BB_batters_faced_mean: 194
home_batting_batting_avg_skew: 175
home_pitching_H_batters_faced_mean: 164
home_pitching_H_batters_faced_skew: 158
away_pitcher_SO_batters_faced_10RA: 148
away_batting_leverage_index_avg_10RA: 141
home_pitcher_SO_batters_faced_10RA: 141
away_pitcher_H_batters_faced_std: 139
home_pitching_SO_batters_faced_mean: 132
home_pitching_earned_run_avg_std: 131
home_pitcher_earned_run_avg_skew: 128
home_pitching_earned_run_avg_mean: 125
home_pitcher_SO_batters_faced_skew: 119
away_team_wins_mean: 118
away_pitching_wpa_def_mean: 116
home_batting_onbase_plus_slugging_skew: 112
away_team_errors_skew: 110
home_batting_wpa_bat_mean: 103
home_pitching_BB_batters_faced_mean: 100
away_pitcher_BB_batters_faced_10RA: 100
away_batting_onbase_perc_10RA: 99
away_pitcher_BB_batters_faced_mean: 98
away_pitcher_wpa_def_mean: 98
away_batting_RBI_std: 96
home_pitching_wpa_def_mean: 95
home_batting_onbase_plus_slugging_mean: 91
home_pitcher_H_batters_faced_skew: 90
away_team_errors_mean: 90
home_batting_wpa_bat_skew: 89
away_pitching_H_batters_faced_10RA: 89
away_pitching_wpa_def_std: 89
away_pitching_BB_batters_faced_std: 88
home_pitching_earned_run_avg_skew: 88
home_batting_onbase_plus_slugging_std: 86
home_pitcher_leverage_index_avg_std: 86
home_pitching_wpa_def_std: 85
home_batting_onbase_perc_skew: 85
home_batting_RBI_skew: 83
away_batting_wpa_bat_skew: 82
away_pitching_leverage_index_avg_std: 79
away_batting_onbase_plus_slugging_mean: 79
home_pitcher_earned_run_avg_10RA: 78
home_pitcher_H_batters_faced_mean: 78
away_pitcher_SO_batters_faced_std: 77
away_batting_RBI_skew: 77
away_pitching_BB_batters_faced_10RA: 76
away_pitcher_earned_run_avg_mean: 76
away_batting_wpa_bat_std: 75
home_pitcher_BB_batters_faced_skew: 75
home_batting_onbase_perc_mean: 74
away_pitcher_leverage_index_avg_skew: 72
home_pitcher_wpa_def_std: 71
home_pitcher_BB_batters_faced_std: 71
away_pitcher_leverage_index_avg_mean: 71
home_batting_wpa_bat_std: 71
away_pitcher_BB_batters_faced_skew: 70
home_pitching_SO_batters_faced_skew: 69
home_pitching_SO_batters_faced_std: 67
away_batting_batting_avg_mean: 67
home_pitching_BB_batters_faced_std: 67
home_pitching_BB_batters_faced_skew: 67
away_pitcher_earned_run_avg_10RA: 66
